category,description
building_shed,"building_shed, surrounded by construction materials and tools., A man works on a wooden shed in a backyard"
canoeing_or_kayaking,"canoeing_or_kayaking, A person kayaks down a river, A person kayaks on a river"
catching_or_throwing_frisbee,"catching_or_throwing_frisbee, holding a frisbee, ready to throw it."
carving_pumpkin,"carving_pumpkin, A person carves a pumpkin with a knife, A person carves a pumpkin on a table"
catching_fish,"catching_fish, holding a fishing rod, holding a fishing rod and waiting for a fish to bite."
changing_wheel,"changing_wheel, A person changes a tire on a car, possibly changing a tire or performing maintenance."
braiding_hair,"braiding_hair, A person braids another person's hair, with the person being the focus of the image."
carrying_baby,"carrying_baby, smiling and looking at the camera., in a living room."
celebrating,"celebrating, A large crowd gathers in a stadium, creating a festive atmosphere."
cleaning_gutters,"cleaning_gutters, A man cleans a gutter on a house, using a long pole to reach the top of the roof."
checking_tires,"checking_tires, A person changes a tire on a car, possibly checking for damage or wear."
cheerleading,"cheerleading, surrounded by a crowd of spectators., with a crowd of spectators in the background."
clapping,"clapping, one clapping, A baby in a high chair claps its hands"
catching_or_throwing_softball,"catching_or_throwing_softball, A softball game is in progress, catcher"
changing_oil,"changing_oil, possibly changing the oil., possibly changing the oil"
bungee_jumping,"bungee_jumping, suspended in mid-air, A person is suspended in mid-air"
cleaning_pool,"cleaning_pool, A man cleans a swimming pool using a long pole, with a fence and trees in the background."
contact_juggling,"contact_juggling, possibly juggling, possibly juggling it"
clean_and_jerk,"clean_and_jerk, A man lifts a barbell in a gym, A man lifts weights in a gym"
cleaning_windows,"cleaning_windows, A man cleans a window using a squeegee, A person cleans a window with a squeegee"
cooking_chicken,"cooking_chicken, A person cooks chicken in a pan, A person stirs a pot of food on a stove"
cleaning_floor,"cleaning_floor, A person operates a floor cleaning machine, preparing to clean the floor."
cleaning_shoes,"cleaning_shoes, preparing to clean it., possibly cleaning or inspecting it."
clay_pottery_making,"clay_pottery_making, A person shapes a clay pot on a pottery wheel, using their hands to mold the clay."
cooking_sausages,"cooking_sausages, in a kitchen setting., A person cooks sausages on a stovetop"
climbing_ladder,"climbing_ladder, reaching for a toy on the top shelf., with a red and white striped pole in the background."
catching_or_throwing_baseball,"catching_or_throwing_baseball, A baseball game is in progress, holding a baseball glove"
climbing_a_rope,"climbing_a_rope, suspended in mid-air, holding onto a rope"
crawling_baby,"crawling_baby, surrounded by toys, in a living room setting."
crossing_river,"crossing_river, surrounded by trees and bushes., surrounded by trees and rocks"
cutting_nails,"cutting_nails, A person trims a dog's nails with a nail clipper, A person is trimming a dog's nails with a nail"
cooking_egg,"cooking_egg, ready to be served., in a kitchen setting."
climbing_tree,"climbing_tree, surrounded by lush greenery., in a lush green forest."
counting_money,"counting_money, A person holds a stack of US dollar bills, possibly preparing to count or exchange them."
country_line_dancing,"country_line_dancing, A group of people dance in a room, wearing cowboy hats and cowboy boots"
decorating_the_christmas_tree,"decorating_the_christmas_tree, in a living room., A family gathers around a Christmas tree"
crying,"crying, A baby, crying"
chopping_wood,"chopping_wood, with a pile of wood nearby., with a pile of chopped wood nearby."
cutting_pineapple,"cutting_pineapple, A person slices a pineapple on a cutting board, using a knife to cut through the fruit."
doing_nails,"doing_nails, with a bottle of nail polish nearby., using a brush and a bottle of nail polish."
dancing_charleston,"dancing_charleston, A group of dancers perform on a stage, A man and woman dance on a stage"
cracking_neck,"cracking_neck, is captured in a close-up shot, wearing a black shirt"
cutting_watermelon,"cutting_watermelon, A person slices a watermelon on a cutting board, in a kitchen setting."
digging,"digging, using shovels and buckets, with a blue bucket nearby."
cleaning_toilet,"cleaning_toilet, A man cleans a toilet in a bathroom, A woman cleans a toilet in a bathroom"
dancing_ballet,"dancing_ballet, A group of dancers perform on a stage, in a ballet performance."
dancing_macarena,"dancing_macarena, A group of people dance in a room, A group of people dance at a party"
dancing_gangnam_style,"dancing_gangnam_style, with a television in the background., Two people dance in a living room"
drawing,"drawing, using a black marker., A hand draws a cartoon character on a piece of paper"
diving_cliff,"diving_cliff, A person jumps off a cliff into a body of water, A person dives off a cliff into a body"
drop_kicking,"drop_kicking, Two men in a park, holding a black object"
dining,"dining, in a restaurant setting., Two women converse at a table in a restaurant"
cooking_on_campfire,"cooking_on_campfire, A person cooks on a campfire, A campfire burns brightly"
drumming_fingers,"drumming_fingers, creating a rhythmic beat., A person plays a drum pad with their hands"
curling_hair,"curling_hair, preparing to style her hair., holding a curling iron"
eating_hotdog,"eating_hotdog, holding a hot dog, captured in a close-up shot."
doing_aerobics,"doing_aerobics, A group of people perform aerobic exercises in a gym, A group of people perform aerobic exercises on a wooden"
eating_doughnuts,"eating_doughnuts, possibly a doughnut, holding a doughnut"
dribbling_basketball,"dribbling_basketball, A man dribbles a basketball on a court, preparing to make a move."
drinking_beer,"drinking_beer, holding a beer, holding a beer bottle"
faceplanting,"faceplanting, A person waterskis on a lake, with a crowd of people in the background."
driving_car,"driving_car, holding a steering wheel, in a parking lot."
extinguishing_fire,"extinguishing_fire, A fire breaks out in a building, with a fire extinguisher nearby"
deadlifting,"deadlifting, A man lifts a barbell in a gym, surrounded by various exercise equipment."
dodgeball,"dodgeball, A group of people play dodgeball in a gymnasium, A group of people play basketball in a gymnasium"
flying_kite,"flying_kite, tethered to a person on the ground, A kite soars high in the sky"
disc_golfing,"disc_golfing, holding a golf club, holding a frisbee"
flipping_pancake,"flipping_pancake, A person cooks pancakes on a stove, A person cooks a pancake on a stove"
drinking_shots,"drinking_shots, with a blurred background., in a dimly lit room."
doing_laundry,"doing_laundry, in a laundry room., holding a black object"
eating_carrots,"eating_carrots, A baby in a high chair, wearing a bib"
drinking,"drinking, A baby, A baby in a high chair"
eating_cake,"eating_cake, A baby in a high chair, A baby sits in a high chair"
eating_burger,"eating_burger, captured in a close-up shot., with a plate of food in front of him."
getting_a_haircut,"getting_a_haircut, A woman cuts a child's hair in a salon, using a comb and scissors."
gargling,"gargling, possibly gargling, possibly preparing to gargle."
hugging,"hugging, creating a heartwarming scene., Two young children"
dunking_basketball,"dunking_basketball, A basketball player jumps to dunk the ball, A basketball game unfolds on a court"
driving_tractor,"driving_tractor, with a person visible in the driver's seat., in a rural setting."
exercising_arm,"exercising_arm, surrounded by exercise equipment., in a gym setting."
egg_hunting,"egg_hunting, including children, A group of people"
dying_hair,"dying_hair, wearing a black shirt, stands in a bathroom"
grooming_dog,"grooming_dog, in a grooming salon., looking at the camera"
finger_snapping,"finger_snapping, with a finger snapping image., holding a finger up in a finger snap"
grooming_horse,"grooming_horse, A woman grooms a brown horse in a stable, using a brush to clean its coat."
filling_eyebrows,"filling_eyebrows, A woman applies makeup to her eyebrows, A person applies makeup to their eyebrow"
eating_watermelon,"eating_watermelon, A baby in a high chair, holding a slice of watermelon"
hitting_baseball,"hitting_baseball, A baseball player swings a bat, A baseball player swings a bat in a batting cage"
eating_chips,"eating_chips, holding a bag of chips, one holding a bag of chips"
eating_ice_cream,"eating_ice_cream, captured in a close-up shot., holding a cup of ice cream"
hockey_stop,"hockey_stop, holding a hockey stick, A hockey game unfolds on a rink"
feeding_goats,"feeding_goats, Two goats, surrounded by other goats."
eating_spaghetti,"eating_spaghetti, A baby in a high chair, A baby in a high chair eats spaghetti"
frying_vegetables,"frying_vegetables, including carrots and broccoli, carrots"
ice_climbing,"ice_climbing, using a rope and harness for safety., using a rope and ice pick to navigate the icy terrain."
front_raises,"front_raises, surrounded by exercise equipment., A man lifts weights in a gym"
exercising_with_an_exercise_ball,"exercising_with_an_exercise_ball, surrounded by exercise equipment., in a gym setting."
golf_putting,"golf_putting, Two men play golf, with a golf club in hand."
fixing_hair,"fixing_hair, possibly fixing a hairstyle or preparing for an event., wearing a black shirt"
hurling_(sport),"hurling_(sport), A group of men play a game of hurling, Two players"
feeding_birds,"feeding_birds, surrounded by a flock of birds., surrounded by pigeons"
folding_paper,"folding_paper, preparing to fold it into a shape., creating a crease in the process."
juggling_fire,"juggling_fire, surrounded by a crowd of spectators., holding a lit lighter"
feeding_fish,"feeding_fish, A person holds a fish in their hand, surrounded by other fish."
golf_driving,"golf_driving, A man swings a golf club on a driving range, A golfer swings a club on a lush green course"
garbage_collecting,"garbage_collecting, A garbage truck, A garbage truck is parked on a street"
high_jump,"high_jump, A high jump competition takes place on a track, A high jump competition takes place on a red track"
juggling_balls,"juggling_balls, holding a juggling ball, possibly preparing to juggle it."
knitting,"knitting, A person holds a crochet hook and yarn, possibly a scarf or a hat"
golf_chipping,"golf_chipping, holding a golf club and preparing to hit a ball., holding a golf club and preparing to take a swing."
folding_clothes,"folding_clothes, surrounded by clothes, with a pile of clothes nearby."
headbutting,"headbutting, Two men in a park, Two wrestlers engage in a headbutting match"
making_bed,"making_bed, in a bedroom setting., holding a white sheet"
headbanging,"headbanging, A band performs on stage, holding a guitar"
grinding_meat,"grinding_meat, A person operates a meat grinder, A person grinds meat in a kitchen"
hula_hooping,"hula_hooping, holding a hula hoop, surrounded by a crowd of people."
kitesurfing,"kitesurfing, A person kitesurfing on a body of water, A person kitesurfing on a beach"
getting_a_tattoo,"getting_a_tattoo, A tattoo artist works on a client's arm, using a tattoo machine to create a design."
high_kick,"high_kick, A cheerleading team performs on a basketball court, with a crowd of spectators watching from the bleachers."
folding_napkins,"folding_napkins, A person folds a white napkin on a wooden table, possibly preparing for a meal or event."
massaging_feet,"massaging_feet, A person massages another person's feet, A person massages another person's foot"
javelin_throw,"javelin_throw, possibly a javelin, with a crowd of spectators in the background."
news_anchoring,"news_anchoring, A news anchor, preparing to report on a story."
making_a_sandwich,"making_a_sandwich, in a kitchen setting., preparing to make a sandwich."
gymnastics_tumbling,"gymnastics_tumbling, A gymnast performs a routine on a blue mat, A gymnast performs a flip on a blue mat"
hurdling,"hurdling, Two athletes compete in a hurdle race, passing a hurdle"
jetskiing,"jetskiing, A person waterskiing on a lake, leaving a wake behind them"
giving_or_receiving_award,"giving_or_receiving_award, one holding a trophy, holding a trophy"
peeling_apples,"peeling_apples, in a kitchen setting., surrounded by various kitchen items."
massaging_back,"massaging_back, A person massages another person's back, using their hands to apply pressure and provide relaxation."
jogging,"jogging, A group of people jog in a park, with a fence and trees in the background."
playing_badminton,"playing_badminton, Two players rally on a badminton court, Two men play badminton in a gymnasium"
kissing,"kissing, A couple shares a tender moment, A couple shares a tender kiss in a dimly lit room"
holding_snake,"holding_snake, A person holds a snake in their hand, A person holds a snake in their hands"
hoverboarding,"hoverboarding, holding a skateboard, A person stands on a blue hoverboard"
kicking_field_goal,"kicking_field_goal, A football game unfolds on a field, with a goal post and trees in the background."
mowing_lawn,"mowing_lawn, A man mows a lawn with a push mower, in a residential area."
hammer_throw,"hammer_throw, with a chain-link fence and trees in the background., with a fence and trees in the background."
kicking_soccer_ball,"kicking_soccer_ball, holding a soccer ball, with a soccer ball nearby."
ice_fishing,"ice_fishing, holding a fishing rod, possibly preparing for ice fishing."
ironing,"ironing, A person irons a white shirt on a white ironing board, A person irons a white shirt on a table"
lunge,"lunge, A man performs a lunge exercise in a gym, surrounded by exercise equipment."
playing_controller,"playing_controller, is displayed on a table., ready for use."
juggling_soccer_ball,"juggling_soccer_ball, holding a soccer ball, possibly preparing to play or practice."
making_a_cake,"making_a_cake, preparing to make a cake., preparing to bake a cake."
passing_American_football_(not_in_game),"passing_American_football_(not_in_game), holding a football, with a fence and trees in the background."
krumping,"krumping, surrounded by a crowd of spectators, A group of people dance in a room"
hopscotch,"hopscotch, drawing a path with chalk., Two children play hopscotch on a sidewalk"
jumpstyle_dancing,"jumpstyle_dancing, with a building in the background., surrounded by a crowd of people."
marching,"marching, A marching band performs on a football field, A marching band performs on a field"
long_jump,"long_jump, A long-jump event takes place on a track, A long jump event takes place on a track"
making_tea,"making_tea, in a kitchen setting., filled with a dark liquid"
making_jewelry,"making_jewelry, possibly creating a piece of jewelry., possibly working on a jewelry-making project."
motorcycling,"motorcycling, A motorcyclist rides down a winding road, A motorcyclist rides down a road"
playing_harp,"playing_harp, A person plays a harp, A woman plays a harp"
laying_bricks,"laying_bricks, Two men work on a brick wall, with a pile of bricks nearby."
ice_skating,"ice_skating, surrounded by other skaters., People ice skate on a rink"
making_snowman,"making_snowman, Two children play in the snow, with one person holding a carrot for the snowman's nose."
making_sushi,"making_sushi, A person prepares sushi rice on a bamboo mat, preparing to make sushi."
mopping_floor,"mopping_floor, preparing to clean the floor., holding a mop"
playing_accordion,"playing_accordion, A person plays a black and white accordion, A man plays a black accordion in a living room"
parkour,"parkour, with a cityscape in the background., in a parkour scene."
playing_poker,"playing_poker, Two men play poker at a table, A person plays poker"
milking_cow,"milking_cow, A man milks a cow in a barn, A person milks a cow in a barn"
jumping_into_pool,"jumping_into_pool, A person jumps into a swimming pool, creating a splash"
massaging_legs,"massaging_legs, A person massages another person's leg, using their hands to apply pressure and provide relaxation."
parasailing,"parasailing, A person is parasailing over a body of water, A person is parasailing over the ocean"
moving_furniture,"moving_furniture, reaching for a toy, leaning against it"
planting_trees,"planting_trees, preparing to plant a tree., possibly preparing to plant a tree."
passing_American_football_(in_game),"passing_American_football_(in_game), A football game unfolds on a field, A football game unfolds on a lush green field"
playing_clarinet,"playing_clarinet, A man plays a clarinet on a stage, A man plays a clarinet on stage"
picking_fruit,"picking_fruit, surrounded by green leaves., possibly picking fruit."
paragliding,"paragliding, A paraglider soars through a clear blue sky, A paraglider soars above a mountain range"
playing_violin,"playing_violin, A man plays a violin on stage, A person plays a violin"
opening_bottle,"opening_bottle, holding a bottle, one holding a bottle"
laughing,"laughing, A baby, Two babies"
plastering,"plastering, using a trowel to apply the material., using a trowel to smooth out the plaster."
playing_cello,"playing_cello, A young boy plays a cello in a living room, A young girl plays a cello in a living room"
playing_cards,"playing_cards, A person holds a deck of playing cards, A hand holds a deck of playing cards"
petting_cat,"petting_cat, creating a heartwarming scene., creating a tender moment between the human and the feline."
peeling_potatoes,"peeling_potatoes, in a kitchen setting., A person peels a potato with a peeler"
playing_chess,"playing_chess, A person plays chess, Two men play chess at a table"
making_pizza,"making_pizza, cheese, ready to be cooked."
playing_bagpipes,"playing_bagpipes, holding a bagpipe, surrounded by a crowd of people."
playing_drums,"playing_drums, A drummer performs on stage, A band performs on stage"
playing_bass_guitar,"playing_bass_guitar, A person plays a bass guitar, A person plays a black bass guitar"
playing_harmonica,"playing_harmonica, holding a harmonica, A young child"
punching_bag,"punching_bag, holding a punching bag, A man in a gym"
playing_cricket,"playing_cricket, holding a bat, A cricket match unfolds on a lush green field"
playing_monopoly,"playing_monopoly, A person plays Monopoly, Two players engage in a game of Monopoly"
massaging_person's_head,"massaging_person's_head, A person massages another person's head, providing a relaxing and soothing experience."
playing_guitar,"playing_guitar, A man plays a guitar in a living room, in a dimly lit room."
playing_piano,"playing_piano, in a dimly lit room., A person plays a piano"
opening_present,"opening_present, in a living room setting., Two children"
sailing,"sailing, A sailboat sails on a body of water, under a clear blue sky."
playing_tennis,"playing_tennis, holding a racket and preparing to hit a ball., ready to play."
playing_ice_hockey,"playing_ice_hockey, A hockey game unfolds on a rink, Two hockey players"
playing_flute,"playing_flute, A young girl plays a silver flute, A woman plays a silver flute"
recording_music,"recording_music, in a recording studio., wearing headphones"
playing_ukulele,"playing_ukulele, A person plays a ukulele, A man plays a ukulele"
playing_paintball,"playing_paintball, holding a gun, holding a paintball gun"
playing_didgeridoo,"playing_didgeridoo, a traditional Australian wind instrument, possibly a didgeridoo"
playing_organ,"playing_organ, A man plays a large organ in a church, A man plays a piano in a church"
riding_scooter,"riding_scooter, wearing a helmet for safety., with a fence and trees in the background."
petting_animal_(not_cat),"petting_animal_(not_cat), surrounded by other goats., creating a heartwarming scene."
playing_recorder,"playing_recorder, captured in a close-up shot., in a dimly lit room."
presenting_weather_forecast,"presenting_weather_forecast, Fri, Sat"
playing_trombone,"playing_trombone, A man plays a trombone on stage, A man plays a trombone on a stage"
playing_kickball,"playing_kickball, A group of people play a game of kickball on a grassy field, kicking a ball"
playing_basketball,"playing_basketball, A basketball game unfolds on a court, holding a basketball"
playing_trumpet,"playing_trumpet, A person plays a golden trumpet, A man plays a trumpet on stage"
playing_squash_or_racquetball,"playing_squash_or_racquetball, Two men play racquetball on a wooden court, Two players engage in a squash match"
pumping_gas,"pumping_gas, A person fills a car with gas at a pump, A person fills up their car with gas at a"
sharpening_knives,"sharpening_knives, A person sharpens a knife on a wooden table, A person sharpens a knife with a whetstone"
playing_volleyball,"playing_volleyball, A volleyball game unfolds on a court, A volleyball game unfolds on a gymnasium court"
reading_newspaper,"reading_newspaper, reading a newspaper, holding a newspaper"
shot_put,"shot_put, with a crowd of spectators in the background., with a crowd of spectators watching."
pull_ups,"pull_ups, surrounded by various exercise equipment., surrounded by exercise equipment."
playing_cymbals,"playing_cymbals, A man plays a drum set, A drummer plays a drum set"
pole_vault,"pole_vault, with a crowd of spectators watching from the sidelines., A person performs a high jump on a pole vault"
pushing_cart,"pushing_cart, A child pushes a shopping cart in a store, surrounded by various products."
punching_person_(boxing),"punching_person_(boxing), Two boxers, Two boxers in a ring"
riding_a_bike,"riding_a_bike, wearing a helmet for safety., with a house and trees in the background."
playing_keyboard,"playing_keyboard, in a dimly lit room., A person plays a black keyboard with white keys"
skateboarding,"skateboarding, A skateboarder performs a trick on a ramp, A skateboarder performs a trick on a rail"
pumping_fist,"pumping_fist, A young child in a car seat, with a blurred background."
riding_or_walking_with_horse,"riding_or_walking_with_horse, with a fence and trees in the background., with a tree in the background."
pushing_wheelchair,"pushing_wheelchair, A person in a wheelchair, A man in a wheelchair"
riding_unicycle,"riding_unicycle, A man balances on a unicycle, A person balances on a unicycle"
pushing_car,"pushing_car, in a living room., in a parking lot."
riding_mountain_bike,"riding_mountain_bike, A person rides a mountain bike on a dirt trail, surrounded by trees and bushes."
riding_mechanical_bull,"riding_mechanical_bull, A woman rides a mechanical bull, A man rides a mechanical bull"
playing_saxophone,"playing_saxophone, A man plays a saxophone on stage, A saxophonist performs on stage"
rock_scissors_paper,"rock_scissors_paper, scissors, paper"
reading_book,"reading_book, A young child, engrossed in a book"
slapping,"slapping, Two men in a room, Two men in a living room"
salsa_dancing,"salsa_dancing, surrounded by a crowd of spectators., A salsa dance performance takes place on a stage"
running_on_treadmill,"running_on_treadmill, A man runs on a treadmill in a gym, A person runs on a treadmill in a gym"
rock_climbing,"rock_climbing, gripping a rope for support., using a rope and harness for safety."
setting_table,"setting_table, silverware, plates"
snowboarding,"snowboarding, A snowboarder descends a snowy mountain, leaving a trail of snow behind them."
shaking_head,"shaking_head, A baby in a high chair, A baby"
shining_shoes,"shining_shoes, A person polishes a black shoe on a wooden table, A person cleans a black shoe with a cloth"
riding_elephant,"riding_elephant, Two elephants, with the elephant's trunk extended."
playing_xylophone,"playing_xylophone, playing a wooden xylophone with colorful bars., in a living room."
riding_mule,"riding_mule, in a rural setting., with a mountain range in the background."
sign_language_interpreting,"sign_language_interpreting, with a sign language interpreting device nearby., possibly in a sign language interpreting role."
sharpening_pencil,"sharpening_pencil, preparing to sharpen a pencil., preparing to sharpen it."
shooting_goal_(soccer),"shooting_goal_(soccer), with a goal post and trees in the background., Two soccer players"
squat,"squat, surrounded by various exercise equipment., A man lifts a barbell in a gym"
scuba_diving,"scuba_diving, A scuba diver, wearing a black wetsuit"
roller_skating,"roller_skating, surrounded by a crowd of spectators., with a crowd of spectators in the background."
skipping_rope,"skipping_rope, A group of dancers perform on a stage, with a crowd of spectators watching from the sidelines."
situp,"situp, surrounded by exercise equipment., A man performs a situp in a gym"
push_up,"push_up, surrounded by exercise equipment., in a gym setting."
sneezing,"sneezing, possibly sneezing, A baby"
shoveling_snow,"shoveling_snow, A person shovels snow from a driveway, A person shovels snow from a sidewalk"
robot_dancing,"robot_dancing, with a robot dancing in the background., with a robot-like figure in the background."
riding_camel,"riding_camel, A group of people ride camels across a desert, A group of people ride camels across a desert landscape"
shearing_sheep,"shearing_sheep, A man shears a sheep in a barn, A man shears a sheep on a stage"
shaking_hands,"shaking_hands, Two men shake hands in front of a crowd, surrounded by a crowd of people."
spray_painting,"spray_painting, A person sprays paint onto a canvas, using a spray gun."
slacklining,"slacklining, A person balances on a tightrope in a park, A man balances on a tightrope in a park"
sweeping_floor,"sweeping_floor, holding a broom, A young child"
ski_jumping,"ski_jumping, with a ski jump visible in the background., A skier in black jacket and pants descends a snowy mountain"
scrambling_eggs,"scrambling_eggs, possibly scrambled eggs, A person cooks scrambled eggs in a frying pan"
shooting_basketball,"shooting_basketball, A basketball game unfolds on a court, holding a basketball"
tai_chi,"tai_chi, A group of people practice tai-chi in a park, A group of people practice tai_chi in a park"
strumming_guitar,"strumming_guitar, D, A man plays a guitar"
snorkeling,"snorkeling, A person snorkeling in the ocean, A person snorkels in a coral reef"
side_kick,"side_kick, A taekwondo class is in progress, in a gym setting."
singing,"singing, A young woman sings into a microphone, A choir performs on a stage"
ripping_paper,"ripping_paper, A baby in a high chair, holding a piece of paper"
shaving_legs,"shaving_legs, using a razor and shaving cream., A person shaves their legs in a bathroom"
sled_dog_racing,"sled_dog_racing, A sled dog race takes place on a snowy track, A sled dog race takes place on a snowy street"
shuffling_cards,"shuffling_cards, A person holds a deck of playing cards, A person holds a deck of cards"
sanding_floor,"sanding_floor, A person operates a machine to sand a wooden floor, A person operates a machine to clean a wooden floor"
springboard_diving,"springboard_diving, A diving competition takes place in a large indoor pool, suspended in mid-air"
swinging_legs,"swinging_legs, in a gym setting., A man performs a workout in a gym"
snowkiting,"snowkiting, A person kiteboards in a snowy field, A person kiteboards on a frozen lake"
surfing_water,"surfing_water, A surfer rides a wave in the ocean, A surfer in a black wetsuit rides a wave on a surfboard"
skydiving,"skydiving, suspended in mid-air with a parachute, A person in a parachute jumps from a plane"
shaving_head,"shaving_head, A person shaves another person's head with a razor, getting a haircut"
tapping_pen,"tapping_pen, possibly writing or drawing., possibly writing or drawing"
skiing_crosscountry,"skiing_crosscountry, holding ski poles, surrounded by snow-covered trees."
testifying,"testifying, A man in a suit speaks at a hearing, A man in a suit and tie speaks at a hearing"
skiing_slalom,"skiing_slalom, leaning into a turn on a snowy slope., A skier in a blue and white suit navigates a slalom course"
sniffing,"sniffing, in a dimly lit room., wearing a white shirt"
smoking_hookah,"smoking_hookah, smoking a hookah, in a dimly lit room."
tossing_salad,"tossing_salad, A person tosses a salad in a glass bowl, using a wooden spoon"
tickling,"tickling, in a living room setting., A baby lies on a bed"
sword_fighting,"sword_fighting, holding a sword, engage in a sword fight"
spraying,"spraying, using a spray gun., likely for agricultural purposes."
shredding_paper,"shredding_paper, A person operates a shredder with a white paper, preparing to shred a white piece of paper."
tying_tie,"tying_tie, possibly preparing for a formal event or professional setting., preparing for a formal event or professional setting."
sticking_tongue_out,"sticking_tongue_out, with the baby's mouth open, A baby"
tasting_food,"tasting_food, in a kitchen setting., one holding a bag of chips"
skiing_(not_slalom_or_crosscountry),"skiing_(not_slalom_or_crosscountry), leaving a trail of snow behind., Two skiers"
surfing_crowd,"surfing_crowd, A large crowd gathers at a concert, A large crowd gathers at a music festival"
triple_jump,"triple_jump, with a crowd of spectators in the background., with a crowd of spectators watching from the sidelines."
somersaulting,"somersaulting, captured in mid-air., A gymnast performs a somersault on a blue mat"
snatch_weight_lifting,"snatch_weight_lifting, A man lifts a barbell in a gym, A man lifts weights in a gym"
walking_the_dog,"walking_the_dog, Two dogs, on a sidewalk."
tossing_coin,"tossing_coin, A person holds a coin in their hand, holding a coin in his hand"
swimming_backstroke,"swimming_backstroke, A person swims in a pool, Swimmers compete in a pool"
swinging_on_something,"swinging_on_something, suspended in mid-air, A person swings on a rope in a forest"
tying_knot_(not_on_a_tie),"tying_knot_(not_on_a_tie), possibly tying a knot, A person ties a knot in a rope"
stretching_arm,"stretching_arm, A man performs a stretching exercise in a gym, with her arms extended and legs bent"
smoking,"smoking, holding a cigarette, with a blurred background."
tasting_beer,"tasting_beer, each holding a glass of beer, one holding a glass of beer"
waxing_back,"waxing_back, A person is waxing another person's back, A man lies on a bed"
using_segway,"using_segway, A man rides a Segway down a city street, A woman rides a Segway down a city street"
waiting_in_line,"waiting_in_line, A large group of people, A group of people"
taking_a_shower,"taking_a_shower, A person takes a shower in a bathroom, A person stands in a shower"
swimming_butterfly_stroke,"swimming_butterfly_stroke, A person swims in a pool, A swimmer in a pool"
tobogganing,"tobogganing, A person sleds down a snowy hill, Two people sled down a snowy hill"
spinning_poi,"spinning_poi, creating a mesmerizing display., holding a spinning poi light"
texting,"texting, possibly texting or browsing, likely texting or browsing"
water_skiing,"water_skiing, A person waterskis on a lake, leaving a wake behind them"
wrapping_present,"wrapping_present, preparing to wrap a present., preparing to wrap a gift."
watering_plants,"watering_plants, with a potted plant nearby., surrounded by lush greenery."
snowmobiling,"snowmobiling, leaving a trail of snow behind., A snowmobile rider"
tap_dancing,"tap_dancing, A group of dancers perform on a stage, accompanied by a band"
